Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Aug 04 2025, 15:00:00",50.04,19.43,194.30,52.11,521.10,0.04,4222210.00,234.72,8.29,-1.00
III Year B-Wing,"Aug 04 2025, 14:00:00",50.06,17.52,175.20,50.20,502.00,0.04,4220300.00,235.26,7.95,-1.00
III Year B-Wing,"Aug 04 2025, 13:00:00",50.07,15.62,156.20,48.30,483.00,0.04,4218400.00,237.17,8.34,-1.00
III Year B-Wing,"Aug 04 2025, 12:00:00",50.00,13.82,138.20,46.50,465.00,0.03,4216600.00,235.79,5.37,-1.00
III Year B-Wing,"Aug 04 2025, 11:00:00",50.04,12.27,122.70,44.95,449.50,0.03,4215050.00,233.76,7.53,-1.00
III Year B-Wing,"Aug 04 2025, 10:00:00",50.06,10.64,106.40,43.32,433.20,0.03,4213420.00,235.32,6.44,-1.00
III Year B-Wing,"Aug 04 2025, 09:00:00",50.12,8.88,88.80,41.56,415.60,0.03,4211659.50,231.05,8.61,-1.00
III Year B-Wing,"Aug 04 2025, 08:00:00",50.11,7.20,72.00,39.88,398.80,0.03,4209980.00,233.85,2.97,-1.00
III Year B-Wing,"Aug 04 2025, 07:00:00",50.04,6.82,68.20,39.50,395.00,0.03,4209600.00,239.44,2.45,0.57
III Year B-Wing,"Aug 04 2025, 06:00:00",50.00,6.49,64.90,39.17,391.70,0.03,4209270.00,238.35,2.43,0.58
III Year B-Wing,"Aug 04 2025, 05:00:00",50.02,6.16,61.60,38.84,388.40,0.03,4208940.00,236.87,2.41,0.58
III Year B-Wing,"Aug 04 2025, 04:00:00",49.97,5.82,58.20,38.50,385.00,0.03,4208600.00,238.87,2.45,0.58
III Year B-Wing,"Aug 04 2025, 03:00:00",49.95,5.48,54.80,38.16,381.60,0.03,4208260.00,240.81,2.48,0.57
III Year B-Wing,"Aug 04 2025, 02:00:00",49.93,5.14,51.40,37.82,378.20,0.03,4207920.00,240.08,2.47,0.57
III Year B-Wing,"Aug 04 2025, 01:00:00",49.97,4.80,48.00,37.48,374.80,0.03,4207580.00,240.85,2.48,0.57
III Year B-Wing,"Aug 03 2025, 23:00:00",50.04,8.20,82.00,36.80,368.00,0.03,4206900.00,236.46,2.41,0.58
III Year B-Wing,"Aug 03 2025, 22:00:00",50.08,7.88,78.80,36.48,364.80,0.03,4206580.00,236.07,2.39,0.59
III Year B-Wing,"Aug 03 2025, 20:00:00",49.87,7.22,72.20,35.82,358.20,0.03,4205920.00,237.79,2.44,0.58
III Year B-Wing,"Aug 03 2025, 19:00:00",50.04,6.88,68.80,35.48,354.80,0.03,4205580.00,239.98,2.47,0.58
III Year B-Wing,"Aug 03 2025, 18:00:00",50.06,6.54,65.40,35.14,351.40,0.03,4205239.50,240.36,2.47,0.57
III Year B-Wing,"Aug 03 2025, 17:00:00",50.05,6.21,62.10,34.81,348.10,0.03,4204909.50,242.97,0.58,0.94
III Year B-Wing,"Aug 03 2025, 16:00:00",50.10,6.08,60.80,34.68,346.80,0.03,4204780.00,244.18,0.59,0.94
III Year B-Wing,"Aug 03 2025, 15:00:00",50.17,5.94,59.40,34.54,345.40,0.03,4204639.50,242.32,0.59,0.94
III Year B-Wing,"Aug 03 2025, 14:00:00",50.04,5.81,58.10,34.41,344.10,0.03,4204510.00,245.80,0.59,0.94
III Year B-Wing,"Aug 03 2025, 13:00:00",50.10,5.67,56.70,34.27,342.70,0.03,4204370.00,244.40,0.59,0.94
III Year B-Wing,"Aug 03 2025, 12:00:00",50.02,5.54,55.40,34.14,341.40,0.03,4204239.50,241.31,0.58,0.94
III Year B-Wing,"Aug 03 2025, 11:00:00",49.98,5.40,54.00,34.00,340.00,0.03,4204100.00,241.71,0.59,0.94
III Year B-Wing,"Aug 03 2025, 10:00:00",50.00,5.27,52.70,33.87,338.70,0.03,4203969.50,243.35,0.59,0.94
III Year B-Wing,"Aug 03 2025, 08:00:00",50.01,5.01,50.10,33.61,336.10,0.03,4203710.00,239.92,0.58,0.94
III Year B-Wing,"Aug 03 2025, 07:00:00",49.95,4.88,48.80,33.48,334.80,0.03,4203580.00,240.72,0.58,0.94
III Year B-Wing,"Aug 03 2025, 06:00:00",50.04,4.75,47.50,33.35,333.50,0.03,4203449.50,240.97,0.59,0.95
III Year B-Wing,"Aug 03 2025, 04:00:00",50.04,4.49,44.90,33.09,330.90,0.02,4203190.00,241.91,0.58,0.94
III Year B-Wing,"Aug 03 2025, 03:00:00",50.00,4.35,43.50,32.95,329.50,0.02,4203050.00,241.03,0.59,0.94
III Year B-Wing,"Aug 03 2025, 02:00:00",50.05,4.22,42.20,32.82,328.20,0.02,4202920.00,241.94,0.58,0.94
III Year B-Wing,"Aug 03 2025, 01:00:00",49.98,4.09,40.90,32.69,326.90,0.02,4202790.00,240.87,0.58,0.94
III Year B-Wing,"Aug 03 2025, 00:00:00",49.94,3.95,39.50,32.55,325.50,0.02,4202650.00,242.39,0.59,0.94
III Year B-Wing,"Aug 02 2025, 23:00:00",49.93,20.60,206.00,32.42,324.20,0.02,4202520.00,240.35,0.58,0.94
III Year B-Wing,"Aug 02 2025, 22:00:00",50.01,20.47,204.70,32.29,322.90,0.02,4202389.50,239.15,0.58,0.95
III Year B-Wing,"Aug 02 2025, 21:00:00",50.02,20.34,203.40,32.16,321.60,0.02,4202260.00,239.07,0.58,0.94
III Year B-Wing,"Aug 02 2025, 20:00:00",50.03,20.21,202.10,32.03,320.30,0.02,4202130.00,240.97,0.58,0.95
III Year B-Wing,"Aug 02 2025, 19:00:00",50.05,20.08,200.80,31.90,319.00,0.02,4202000.00,237.60,0.58,0.95
III Year B-Wing,"Aug 02 2025, 18:00:00",50.08,19.95,199.50,31.77,317.70,0.02,4201870.00,242.91,0.59,0.94
III Year B-Wing,"Aug 02 2025, 17:00:00",50.08,19.81,198.10,31.63,316.30,0.02,4201730.00,243.36,0.58,0.94
III Year B-Wing,"Aug 02 2025, 16:00:00",50.07,19.68,196.80,31.50,315.00,0.02,4201600.00,241.75,0.59,0.95
III Year B-Wing,"Aug 02 2025, 15:00:00",50.00,19.55,195.50,31.37,313.70,0.02,4201469.50,236.60,0.57,0.95
III Year B-Wing,"Aug 02 2025, 14:00:00",50.01,19.42,194.20,31.24,312.40,0.02,4201340.00,237.53,0.58,0.95
III Year B-Wing,"Aug 02 2025, 13:00:00",50.01,19.29,192.90,31.11,311.10,0.02,4201210.00,237.38,0.57,0.94
III Year B-Wing,"Aug 02 2025, 12:00:00",50.05,19.16,191.60,30.98,309.80,0.02,4201080.00,243.26,0.59,0.94
III Year B-Wing,"Aug 02 2025, 11:00:00",50.00,19.05,190.50,30.87,308.70,0.02,4200969.50,244.15,0.59,0.94
III Year B-Wing,"Aug 02 2025, 10:00:00",49.98,18.92,189.20,30.74,307.40,0.02,4200840.00,244.04,0.59,0.94
III Year B-Wing,"Aug 02 2025, 09:00:00",50.00,18.79,187.90,30.61,306.10,0.02,4200710.00,239.92,0.58,0.94
III Year B-Wing,"Aug 02 2025, 07:00:00",50.08,18.52,185.20,30.34,303.40,0.02,4200440.00,239.97,0.58,0.94
III Year B-Wing,"Aug 02 2025, 06:00:00",50.08,18.39,183.90,30.21,302.10,0.02,4200310.00,237.71,0.58,0.95
III Year B-Wing,"Aug 02 2025, 05:00:00",50.09,18.08,180.80,29.90,299.00,0.02,4200000.00,241.86,2.48,0.58
III Year B-Wing,"Aug 02 2025, 04:00:00",50.05,17.74,177.40,29.56,295.60,0.02,4199659.50,242.47,2.47,0.58
III Year B-Wing,"Aug 02 2025, 03:00:00",50.03,17.39,173.90,29.21,292.10,0.02,4199310.00,240.54,2.47,0.57
III Year B-Wing,"Aug 02 2025, 02:00:00",49.89,17.06,170.60,28.88,288.80,0.02,4198980.00,240.53,1.86,0.62
III Year B-Wing,"Aug 02 2025, 01:00:00",49.97,16.78,167.80,28.60,286.00,0.02,4198699.50,240.86,1.87,0.62
III Year B-Wing,"Aug 02 2025, 00:00:00",50.09,16.51,165.10,28.33,283.30,0.02,4198429.50,240.69,1.86,0.62
III Year B-Wing,"Aug 01 2025, 23:00:00",50.01,28.05,280.50,28.05,280.50,0.02,4198150.00,242.91,1.89,0.61
III Year B-Wing,"Aug 01 2025, 22:00:00",50.10,27.78,277.80,27.78,277.80,0.02,4197880.00,237.94,1.83,0.62
III Year B-Wing,"Aug 01 2025, 21:00:00",50.04,27.52,275.20,27.52,275.20,0.02,4197620.00,237.33,1.81,0.62
III Year B-Wing,"Aug 01 2025, 20:00:00",50.09,27.35,273.50,27.35,273.50,0.02,4197449.50,243.02,0.59,0.94
III Year B-Wing,"Aug 01 2025, 19:00:00",49.96,27.21,272.10,27.21,272.10,0.02,4197310.00,239.99,0.58,0.94
III Year B-Wing,"Aug 01 2025, 18:00:00",50.09,27.08,270.80,27.08,270.80,0.02,4197179.50,244.38,0.59,0.94
III Year B-Wing,"Aug 01 2025, 17:00:00",50.05,26.95,269.50,26.95,269.50,0.02,4197050.00,241.03,0.58,0.94
III Year B-Wing,"Aug 01 2025, 16:00:00",50.06,26.81,268.10,26.81,268.10,0.02,4196909.50,243.16,0.59,0.95
III Year B-Wing,"Aug 01 2025, 14:00:00",50.17,23.83,238.30,23.83,238.30,0.02,4193929.75,230.32,8.85,-1.00
III Year B-Wing,"Aug 01 2025, 13:00:00",50.02,21.78,217.80,21.78,217.80,0.02,4191880.00,237.67,8.88,-1.00
III Year B-Wing,"Aug 01 2025, 11:00:00",50.01,17.78,177.80,17.78,177.80,0.01,4187880.00,235.84,8.53,-1.00
III Year B-Wing,"Aug 01 2025, 10:00:00",50.02,15.78,157.80,15.78,157.80,0.01,4185880.00,231.05,8.58,-1.00
III Year B-Wing,"Aug 01 2025, 09:00:00",50.11,13.95,139.50,13.95,139.50,0.01,4184049.75,234.13,7.26,-1.00
III Year B-Wing,"Aug 01 2025, 08:00:00",50.01,12.95,129.50,12.95,129.50,0.01,4183049.75,238.45,2.95,-1.00
III Year B-Wing,"Aug 01 2025, 07:00:00",49.93,12.61,126.10,12.61,126.10,0.01,4182710.00,239.83,0.58,0.94
III Year B-Wing,"Aug 01 2025, 04:00:00",49.93,12.22,122.20,12.22,122.20,0.01,4182319.75,240.50,0.58,0.94
III Year B-Wing,"Aug 01 2025, 03:00:00",49.96,12.09,120.90,12.09,120.90,0.01,4182190.00,239.51,0.58,0.94
III Year B-Wing,"Aug 01 2025, 02:00:00",50.04,11.95,119.50,11.95,119.50,0.01,4182049.75,240.91,0.58,0.94
III Year B-Wing,"Aug 01 2025, 01:00:00",50.00,11.82,118.20,11.82,118.20,0.01,4181920.00,241.58,0.58,0.94
III Year B-Wing,"Aug 01 2025, 00:00:00",50.04,11.69,116.90,11.69,116.90,0.01,4181790.00,237.78,0.58,0.95
